indicator_name,nt8_source_file,nt8_source_path,nt8_source_hash,python_module,python_file,function_name,category,status,parity_status,required_columns,output_columns,default_params,notes,created_at,updated_at
@Indicator,@Indicator.cs,C:\Users\srobi\OneDrive\Documents\NinjaTrader 8\bin\Custom\Indicators\@Indicator.cs,7508e7af5fe85eb476a625a0db8e17e6e1c3dc78d6b01aab23dd47be61d4f106,indicators.volatility,C:\Users\srobi\OneDrive\Documents\Data\regimeAwareDiscovery\indicators\volatility.py,compute_indicator,volatility,stub_created,not_tested,"timestamp,open,high,low,close,volume",,{},Auto-generated from NT8 indicator source. Needs manual conversion.,2026-04-25 17:00:11,2026-04-25 17:00:11
ADL,@ADL.cs,C:\Users\srobi\OneDrive\Documents\NinjaTrader 8\bin\Custom\Indicators\@ADL.cs,25705b98d52217512b522e2965e46e918cdd9a5ed183b09aad7ec69e74cc8962,indicators.volatility,C:\Users\srobi\OneDrive\Documents\Data\regimeAwareDiscovery\indicators\volatility.py,compute_adl,volatility,stub_created,not_tested,"timestamp,open,high,low,close,volume",,{},Auto-generated from NT8 indicator source. Needs manual conversion.,2026-04-25 17:00:11,2026-04-25 17:00:11
ADX,@ADX.cs,C:\Users\srobi\OneDrive\Documents\NinjaTrader 8\bin\Custom\Indicators\@ADX.cs,f22acf2040404aa8a8108a6ae071aa0d2b5c2a7de32165dd8e5fb8cf8dfe3ee7,indicators.volatility,C:\Users\srobi\OneDrive\Documents\Data\regimeAwareDiscovery\indicators\volatility.py,compute_adx,volatility,stub_created,not_tested,"timestamp,open,high,low,close,volume",,{},Auto-generated from NT8 indicator source. Needs manual conversion.,2026-04-25 17:00:11,2026-04-25 17:00:11
ADXR,@ADXR.cs,C:\Users\srobi\OneDrive\Documents\NinjaTrader 8\bin\Custom\Indicators\@ADXR.cs,56b6657ae76a36befb8d869d052d85e2c35c1cc7b5034e160fc4f60c6b881688,indicators.volatility,C:\Users\srobi\OneDrive\Documents\Data\regimeAwareDiscovery\indicators\volatility.py,compute_adxr,volatility,stub_created,not_tested,"timestamp,open,high,low,close,volume",,{},Auto-generated from NT8 indicator source. Needs manual conversion.,2026-04-25 17:00:11,2026-04-25 17:00:11
AFATR,AFATR.cs,C:\Users\srobi\OneDrive\Documents\NinjaTrader 8\bin\Custom\Indicators\AFATR.cs,4ab3296cbd2871ad954434f56777a0bd9503d2ff4a0fd1bdd570fdb4055a0609,indicators.volatility,C:\Users\srobi\OneDrive\Documents\Data\regimeAwareDiscovery\indicators\volatility.py,compute_afatr,volatility,stub_created,not_tested,"timestamp,open,high,low,close,volume",,{},Auto-generated from NT8 indicator source. Needs manual conversion.,2026-04-25 17:00:11,2026-04-25 17:00:11
APZ,@APZ.cs,C:\Users\srobi\OneDrive\Documents\NinjaTrader 8\bin\Custom\Indicators\@APZ.cs,da569f4fee439831d3df692133ee16dc0531b1c7e230536f73c73cb8b3fbb7df,indicators.volatility,C:\Users\srobi\OneDrive\Documents\Data\regimeAwareDiscovery\indicators\volatility.py,compute_apz,volatility,stub_created,not_tested,"timestamp,open,high,low,close,volume",,{},Auto-generated from NT8 indicator source. Needs manual conversion.,2026-04-25 17:00:11,2026-04-25 17:00:11
ATR,@ATR.cs,C:\Users\srobi\OneDrive\Documents\NinjaTrader 8\bin\Custom\Indicators\@ATR.cs,2799c7c8ada28aacd8d881f0b47c01a6f4a45d1bba4a8ddf2850bfb0026f9223,indicators.volatility,C:\Users\srobi\OneDrive\Documents\Data\regimeAwareDiscovery\indicators\volatility.py,compute_atr,volatility,stub_created,not_tested,"timestamp,open,high,low,close,volume",,{},Auto-generated from NT8 indicator source. Needs manual conversion.,2026-04-25 17:00:11,2026-04-25 17:00:11
ATRBandsSignalIndicator,ATRBandsMaxIndicator.cs,C:\Users\srobi\OneDrive\Documents\NinjaTrader 8\bin\Custom\Indicators\ATRBandsMaxIndicator.cs,78f1cb3ba2725bb6fbecae5324763a750a6571080733f4b3fd701dd91acd0455,indicators.volatility,C:\Users\srobi\OneDrive\Documents\Data\regimeAwareDiscovery\indicators\volatility.py,compute_atrbands_signal_indicator,volatility,stub_created,not_tested,"timestamp,open,high,low,close,volume",,{},Auto-generated from NT8 indicator source. Needs manual conversion.,2026-04-25 17:00:11,2026-04-25 17:00:11
Aroon,@Aroon.cs,C:\Users\srobi\OneDrive\Documents\NinjaTrader 8\bin\Custom\Indicators\@Aroon.cs,a948ba891778835210800d1c449a019be4a9aace81b8f644ee196ea23244e7c7,indicators.volatility,C:\Users\srobi\OneDrive\Documents\Data\regimeAwareDiscovery\indicators\volatility.py,compute_aroon,volatility,stub_created,not_tested,"timestamp,open,high,low,close,volume",,{},Auto-generated from NT8 indicator source. Needs manual conversion.,2026-04-25 17:00:11,2026-04-25 17:00:11
AroonOscillator,@AroonOscillator.cs,C:\Users\srobi\OneDrive\Documents\NinjaTrader 8\bin\Custom\Indicators\@AroonOscillator.cs,7a0f0ef7846467878e83d598f996baa4bde0ae29a6fe4a9bd154d67b522bc5c6,indicators.volatility,C:\Users\srobi\OneDrive\Documents\Data\regimeAwareDiscovery\indicators\volatility.py,compute_aroon_oscillator,volatility,stub_created,not_tested,"timestamp,open,high,low,close,volume",,{},Auto-generated from NT8 indicator source. Needs manual conversion.,2026-04-25 17:00:11,2026-04-25 17:00:11
